filename,bridges_any,buildings_any,buildings_affected_or_greater,buildings_minor_or_greater,debris_any,flooding_any,flooding_structures,roads_any,roads_damage,trees_any,trees_damage,water_any,timestamp
image_0001_test.jpg,0,1,1,1,1,0,0,1,0,1,1,0,2025-05-04T03:02:21.854427
image_0002_test.jpg,0,1,1,1,1,0,0,1,0,1,0,0,2025-05-04T03:02:30.873038
image_0003_test.jpg,0,0,0,0,1,0,0,1,0,1,1,1,2025-05-04T03:02:39.579644
image_0004_test.jpg,0,1,1,1,1,0,0,1,0,1,1,0,2025-05-04T03:02:46.942553
image_0005_test.jpg,0,1,1,1,1,0,0,1,0,1,1,0,2025-05-04T03:02:57.709681
image_0006_test.jpg,0,1,0,0,0,0,0,1,0,1,1,0,2025-05-04T03:03:04.870379
image_0007_test.jpg,0,1,1,1,0,0,0,1,0,1,1,0,2025-05-04T03:03:10.918158
image_0008_test.jpg,0,1,1,1,1,0,0,1,0,1,1,0,2025-05-04T03:03:19.701002
image_0009_test.jpg,0,1,0,0,0,0,0,1,0,1,0,0,2025-05-04T03:03:26.883246
image_0010_test.jpg,0,0,0,0,0,0,0,0,0,1,0,0,2025-05-04T03:03:32.860960
image_0011_test.jpg,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-04T03:03:40.429056
image_0012_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:03:48.283748
image_0013_test.jpg,0,0,0,0,0,0,0,1,0,1,0,0,2025-05-04T03:03:54.593689
image_0014_test.jpg,0,1,0,0,0,0,0,1,0,1,0,0,2025-05-04T03:04:00.268784
image_0015_test.jpg,0,0,0,0,0,0,0,1,0,1,0,0,2025-05-04T03:04:08.562030
image_0016_test.jpg,0,1,1,1,1,0,0,1,0,1,0,0,2025-05-04T03:04:15.616521
image_0017_test.jpg,0,1,1,1,1,0,0,1,0,1,1,0,2025-05-04T03:04:22.385284
image_0018_test.jpg,0,1,1,1,1,0,0,1,0,1,1,0,2025-05-04T03:04:31.719633
image_0019_test.jpg,0,1,0,0,0,0,0,1,0,1,0,0,2025-05-04T03:04:37.433304
image_0020_test.jpg,0,1,1,1,1,0,0,1,0,1,1,0,2025-05-04T03:04:45.019424
image_0021_test.jpg,0,1,1,1,1,0,0,1,0,1,1,0,2025-05-04T03:04:53.890313
image_0022_test.jpg,0,1,1,1,1,0,0,1,1,1,1,0,2025-05-04T03:05:01.630684
image_0023_test.jpg,0,0,0,0,1,0,0,0,0,1,1,0,2025-05-04T03:05:10.007353
image_0024_test.jpg,0,0,0,0,1,0,0,0,0,1,1,0,2025-05-04T03:05:19.735458
image_0025_test.jpg,0,0,0,0,1,0,0,0,0,1,1,0,2025-05-04T03:05:26.215932
image_0026_test.jpg,0,0,0,0,1,0,0,0,0,1,1,1,2025-05-04T03:05:34.680409
image_0027_test.jpg,0,0,0,0,0,0,0,0,0,1,1,1,2025-05-04T03:05:43.847036
image_0028_test.jpg,0,1,0,0,0,0,0,1,0,1,1,0,2025-05-04T03:05:51.889420
image_0029_test.jpg,0,1,1,1,1,0,0,1,0,1,1,0,2025-05-04T03:06:03.044514
image_0030_test.jpg,0,0,0,0,0,0,0,0,0,1,0,0,2025-05-04T03:06:10.247523
image_0031_test.jpg,1,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:06:21.630997
image_0032_test.jpg,1,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:06:32.579784
image_0033_test.jpg,0,1,1,1,1,0,0,1,0,1,1,0,2025-05-04T03:06:40.476525
image_0034_test.jpg,0,1,1,1,0,0,0,1,0,1,1,0,2025-05-04T03:06:47.755539
image_0035_test.jpg,0,1,1,1,1,0,0,1,0,1,1,0,2025-05-04T03:06:56.493620
image_0036_test.jpg,0,1,1,1,1,0,0,1,0,1,1,0,2025-05-04T03:07:02.975357
image_0037_test.jpg,0,1,1,1,1,0,0,1,0,1,1,0,2025-05-04T03:07:11.278289
image_0038_test.jpg,0,1,0,0,1,0,0,1,0,1,1,0,2025-05-04T03:07:18.923213
image_0039_test.jpg,1,0,0,0,0,0,0,1,0,1,1,1,2025-05-04T03:07:27.524503
image_0040_test.jpg,0,1,0,0,1,0,0,1,0,1,1,0,2025-05-04T03:07:35.510610
image_0041_test.jpg,0,1,1,1,1,0,0,1,0,1,1,0,2025-05-04T03:07:43.420888
image_0042_test.jpg,0,1,1,1,0,0,0,1,0,1,1,0,2025-05-04T03:07:54.064566
image_0043_test.jpg,0,1,1,1,1,0,0,1,0,1,1,0,2025-05-04T03:08:01.797609
image_0044_test.jpg,0,1,1,1,0,0,0,1,0,1,1,0,2025-05-04T03:08:09.821442
image_0045_test.jpg,0,1,1,1,0,0,0,1,0,1,1,0,2025-05-04T03:08:17.711379
image_0046_test.jpg,0,0,0,0,0,0,0,1,0,1,0,0,2025-05-04T03:08:24.894379
image_0047_test.jpg,0,1,0,0,0,0,0,1,0,1,0,0,2025-05-04T03:08:33.492246
image_0048_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:08:41.044119
image_0049_test.jpg,0,1,0,0,0,0,0,1,0,1,0,0,2025-05-04T03:08:50.297841
image_0050_test.jpg,0,1,1,1,1,0,0,1,0,1,1,0,2025-05-04T03:08:59.177852
image_0051_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:09:07.259263
image_0052_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:09:13.894909
image_0053_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:09:19.960725
image_0054_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:09:27.346735
image_0055_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:09:35.765927
image_0056_test.jpg,0,1,0,0,0,0,0,1,0,1,0,0,2025-05-04T03:09:42.601480
image_0057_test.jpg,1,0,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:09:53.888067
image_0058_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:10:01.029109
image_0059_test.jpg,0,1,1,1,1,0,0,1,0,1,0,0,2025-05-04T03:10:07.585676
image_0060_test.jpg,0,1,1,1,1,0,0,1,0,1,0,1,2025-05-04T03:10:17.026950
image_0061_test.jpg,1,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:10:23.176151
image_0062_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:10:29.691931
image_0063_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:10:38.458456
image_0064_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:10:46.041518
image_0065_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:10:53.028137
image_0066_test.jpg,0,1,0,0,0,0,0,1,0,1,0,0,2025-05-04T03:10:59.713423
image_0067_test.jpg,0,1,0,0,0,0,0,1,0,1,0,0,2025-05-04T03:11:05.440361
image_0068_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:11:12.089970
image_0069_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:11:23.624294
image_0070_test.jpg,0,0,0,0,0,0,0,0,0,1,0,1,2025-05-04T03:11:29.712022
image_0071_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:11:36.543820
image_0072_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:11:44.132652
image_0073_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:11:54.581713
image_0074_test.jpg,0,1,0,0,0,0,0,1,0,1,0,0,2025-05-04T03:12:01.051603
image_0075_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:12:09.637827
image_0076_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:12:17.907278
image_0077_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:12:25.511691
image_0078_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:12:32.678780
image_0079_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:12:39.067193
image_0080_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:12:49.165762
image_0081_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:12:57.001043
image_0082_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:13:04.135733
image_0083_test.jpg,0,1,0,0,0,0,0,1,0,1,0,0,2025-05-04T03:13:10.187732
image_0084_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:13:17.934898
image_0085_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:13:23.699109
image_0086_test.jpg,0,0,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:13:32.473851
image_0087_test.jpg,0,0,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:13:39.216008
image_0088_test.jpg,1,0,0,0,0,0,0,0,0,1,0,0,2025-05-04T03:13:46.882526
image_0089_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:13:54.721859
image_0090_test.jpg,0,1,0,0,0,0,0,1,0,1,0,0,2025-05-04T03:14:03.407231
image_0091_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:14:10.535971
image_0092_test.jpg,0,0,0,0,0,0,0,1,0,1,0,0,2025-05-04T03:14:19.920851
image_0093_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:14:28.127869
image_0094_test.jpg,0,0,0,0,0,0,0,0,0,1,0,1,2025-05-04T03:14:35.460031
image_0095_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:14:43.341775
image_0096_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:14:50.120809
image_0097_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:14:55.521657
image_0098_test.jpg,0,1,0,0,0,0,0,1,0,1,0,1,2025-05-04T03:15:02.900136
