filename,bridges_any,buildings_any,buildings_affected_or_greater,buildings_minor_or_greater,debris_any,flooding_any,flooding_structures,roads_any,roads_damage,trees_any,trees_damage,water_any
image_0001_test.jpg,False,True,True,True,True,False,False,True,False,True,True,False
image_0002_test.jpg,False,True,True,True,True,False,False,True,False,True,True,False
image_0003_test.jpg,False,False,False,False,False,False,False,True,False,True,True,True
image_0004_test.jpg,False,True,True,True,True,False,False,True,False,True,True,False
image_0005_test.jpg,False,True,True,True,True,False,False,True,False,True,True,False
image_0006_test.jpg,False,True,True,True,True,False,False,True,False,True,True,False
image_0007_test.jpg,False,True,True,False,True,False,False,True,False,True,True,False
image_0008_test.jpg,False,True,True,True,True,False,False,True,False,True,True,False
image_0009_test.jpg,False,True,True,False,True,False,False,True,False,True,True,False
image_0010_test.jpg,False,False,False,False,False,True,False,False,False,True,False,True
image_0011_test.jpg,False,False,False,False,False,True,False,False,False,True,False,True
image_0012_test.jpg,False,True,True,False,False,False,False,True,False,True,True,True
image_0013_test.jpg,False,False,False,False,False,False,False,True,False,True,False,False
image_0014_test.jpg,False,True,False,False,False,False,False,True,False,True,True,True
image_0015_test.jpg,False,False,False,False,False,False,False,True,False,True,False,True
image_0016_test.jpg,False,True,True,True,False,False,False,True,False,True,False,False
image_0017_test.jpg,False,True,True,True,True,False,False,True,False,True,True,False
image_0018_test.jpg,False,True,True,True,True,False,False,True,False,True,True,False
image_0019_test.jpg,False,True,True,False,False,False,False,True,False,True,False,False
image_0020_test.jpg,False,True,True,True,True,False,False,True,False,True,True,False
image_0021_test.jpg,False,True,True,True,True,False,False,True,False,True,True,False
image_0022_test.jpg,False,True,True,True,True,False,False,True,False,True,True,False
image_0023_test.jpg,False,False,False,False,False,False,False,False,False,True,True,False
image_0024_test.jpg,False,False,False,False,False,False,False,False,False,True,True,True
image_0025_test.jpg,False,False,False,False,False,False,False,True,False,True,True,True
image_0026_test.jpg,False,False,False,False,False,False,False,False,False,True,True,True
image_0027_test.jpg,False,False,False,False,False,True,False,True,False,True,True,True
image_0028_test.jpg,False,True,False,False,False,False,False,True,False,True,True,False
image_0029_test.jpg,False,True,True,True,True,False,False,True,False,True,True,False
image_0030_test.jpg,False,False,False,False,False,False,False,False,False,True,False,False
image_0031_test.jpg,False,True,False,False,False,False,False,True,False,True,True,True
image_0032_test.jpg,False,True,False,False,False,False,False,True,False,True,False,False
image_0033_test.jpg,False,True,True,True,True,False,False,True,False,True,True,False
image_0034_test.jpg,False,True,True,False,False,False,False,True,False,True,True,False
image_0035_test.jpg,False,True,True,False,True,False,False,True,False,True,True,False
